alpha;1;2;3;4;5;6;7;8;9;10
1;0.34216;3.04233;5;20;3.26712;1.76984;0.86206;0.66243;-0.07723;5921
2;-0.00766;3.19568;4;20;3.06588;1.82162;1.04873;0.96118;-0.06054;5004
3;-0.29315;3.34242;3;20;2.63912;1.89042;1.25312;1.19673;-0.04386;4097
4;-0.52099;3.48334;3;20;2.19411;2.10183;1.47300;1.38252;-0.02718;3200
5;-0.69739;3.61906;3;20;1.90607;7.54315;1.70550;1.52843;-0.01049;2313
6;-0.82810;3.75013;4;20;1.88252;7.95400;1.94736;1.64188;0.00619;1436
7;-0.91842;3.87698;4;20;2.14522;8.03708;2.19531;1.72860;0.02288;569
8;-0.97326;4.00000;4;20;2.34453;8.08993;2.44649;1.79303;0.03956;9720
9;-0.99712;4.11951;4;21;2.20055;8.14967;2.69882;1.83872;0.05624;8874
10;-0.99417;4.23579;4;21;1.89821;8.28311;2.95132;1.86850;0.07293;8038
11;-0.96821;4.34909;5;21;1.64141;12.58572;3.20420;1.88467;0.08961;7212
12;-0.92272;4.45962;5;21;1.54868;14.19340;3.45887;1.88912;0.10629;6396
13;-0.86091;4.56758;5;21;1.67152;14.30237;3.71776;1.88343;0.12298;5590
14;-0.78567;4.67314;5;21;1.90725;14.35871;3.98406;1.86890;0.13966;4794
15;-0.69964;4.77645;5;21;1.93341;14.41326;4.26137;1.84664;0.15634;4008
16;-0.60522;4.87765;5;21;1.73724;14.50955;4.55323;1.81760;0.17303;3232
17;-0.50457;4.97686;5;21;1.50855;15.29450;4.86264;1.78259;0.18971;2466
18;-0.39963;5.07419;5;21;1.38240;20.40593;5.19149;1.74229;0.20639;1710
19;-0.29214;5.16975;5;21;1.42092;20.56440;5.54010;1.69731;0.22308;964
20;-0.18367;5.26363;5;21;1.60612;20.62737;5.90687;1.64818;0.23976;228
21;-0.07558;5.35591;5;21;1.72355;20.67949;6.28850;1.59537;0.25644;9523
22;0.03091;5.44667;5;21;1.62185;20.75540;6.68048;1.53928;0.27313;8808
23;0.13473;5.53599;5;21;1.42695;21.05014;7.07814;1.48028;0.28981;8103
